0,2.06,
1,2.12056,
2,2.18162,
3,2.24311,
4,2.30495,
5,2.36707,
6,2.42939,
7,2.49184,
8,2.55434,
9,2.61681,
10,2.67918,
11,2.74136,
12,2.80327,
13,2.86485,
14,2.92602,
15,2.98671,
16,3.04684,
17,3.10635,
18,3.16517,
19,3.22325,
20,3.28052,
21,3.33692,
22,3.39242,
23,3.44696,
24,3.50049,
25,3.55298,
26,3.60439,
27,3.65469,
28,3.70386,
29,3.75187,
30,3.7987,
31,3.84433,
32,3.88876,
33,3.93197,
34,3.97397,
35,4.01474,
36,4.0543,
37,4.09264,
38,4.12977,
39,4.16571,
40,4.20047,
41,4.23405,
42,4.26648,
43,4.29778,
44,4.32796,
45,4.35704,
46,4.38506,
47,4.41202,
48,4.43796,
49,4.46291,
50,4.48688,
51,4.5099,
52,4.532,
53,4.55321,
54,4.57356,
55,4.59306,
56,4.61175,
57,4.62965,
58,4.6468,
59,4.66321,
60,4.67892,
61,4.69394,
62,4.70831,
63,4.72204,
64,4.73517,
65,4.74771,
66,4.75969,
67,4.77112,
68,4.78204,
69,4.79247,
70,4.80241,
71,4.8119,
72,4.82095,
73,4.82958,
74,4.83781,
75,4.84566,
76,4.85314,
77,4.86027,
78,4.86706,
79,4.87353,
80,4.87969,
81,4.88556,
82,4.89115,
83,4.89648,
84,4.90155,
85,4.90637,
86,4.91097,
87,4.91534,
88,4.9195,
89,4.92346,
90,4.92723,
91,4.93081,
92,4.93423,
93,4.93747,
94,4.94056,
95,4.9435,
96,4.94629,
97,4.94895,
98,4.95147,
99,4.95387,
